Time,Channel A
(s),(V)

218.86677592,-0.02099673
218.93344262,-0.01886044
219.00010932,-0.02044740
219.06677602,-0.01995911
219.13344272,-0.01965392
219.20010942,-0.02002014
219.26677612,-0.01867733
219.33344282,-0.01623585
219.40010952,-0.02142399
219.46677622,-0.01873836
219.53344292,-0.01110874
219.60010962,-0.01641896
219.66677632,-0.01611377
219.73344302,-0.01391644
219.80010972,-0.01776177
219.86677642,-0.01416059
219.93344312,-0.01269570
220.00010982,-0.01208533
220.06677652,-0.01153600
220.13344322,-0.00866726
220.20010992,-0.01037629
220.26677662,-0.00677511
220.33344332,-0.00463881
220.40011002,-0.00854518
220.46677672,-0.00708029
220.53344342,-0.00360118
220.60011012,-0.00488296
220.66677682,-0.00244148
220.73344352,0.00091556
220.80011022,0.00024415
220.86677692,0.00207526
220.93344362,0.00592059
221.00011032,0.00360118
221.06677702,0.00701926
221.13344372,0.01025422
221.20011042,0.00939970
221.26677712,0.01165807
221.33344382,0.01416059
221.40011052,0.01409955
221.46677722,0.01434370
221.53344392,0.02172918
221.60011062,0.02447584
221.66677732,0.02758873
221.73344402,0.02789392
221.80011072,0.03131199
221.86677742,0.02960295
221.93344412,0.03424177
222.00011082,0.03326517
222.06677752,0.04058962
222.13344422,0.04760887
222.20011092,0.04693747
222.26677762,0.04797510
222.33344432,0.05475020
222.40011102,0.05121006
222.46677772,0.05236976
222.53344442,0.05688650
222.60011112,0.06006043
222.66677782,0.06463820
222.73344452,0.07000946
222.80011122,0.07129124
222.86677792,0.07171850
222.93344462,0.07641835
223.00011132,0.08178961
223.06677802,0.08178961
223.13344472,0.09344768
223.20011142,0.08801538
223.26677812,0.09302042
223.33344482,0.10229800
223.40011152,0.10180970
223.46677822,0.10138250
223.53344492,0.11651970
223.60011162,0.11432230
223.66677832,0.11670280
223.73344502,0.12945950
223.80011172,0.13293860
223.86677842,0.13556320
223.93344512,0.14429150
224.00011182,0.14813680
224.06677852,0.15131080
224.13344522,0.15295880
224.20011192,0.16156500
224.26677862,0.15790280
224.33344532,0.17401650
224.40011202,0.18659020
224.46677872,0.17645800
224.53344542,0.19629510
224.60011212,0.20337530
224.66677882,0.18787190
224.73344552,0.20526750
224.80011222,0.21289710
224.86677892,0.22455520
224.93344562,0.22339550
225.00011232,0.22815640
225.06677902,0.24054690
225.13344572,0.24994660
225.20011242,0.26276440
225.26677912,0.26264230
225.33344582,0.26386300
225.40011252,0.26465650
225.46677922,0.27387310
225.53344592,0.28778960
225.60011262,0.30011900
225.66677932,0.29877620
225.73344602,0.29541920
225.80011272,0.30603960
225.86677942,0.31623280
225.93344612,0.32972200
226.00011282,0.33039340
226.06677952,0.33637500
226.13344622,0.34174630
226.20011292,0.35834830
226.26677962,0.36194950
226.33344632,0.35773800
226.40011302,0.36512350
226.46677972,0.36799220
226.53344642,0.38526560
226.60011312,0.38911100
226.66677982,0.39674060
226.73344652,0.39698480
226.80011322,0.41834770
226.86677992,0.42719810
226.93344662,0.43641470
227.00011332,0.44361700
227.06678002,0.45063630
227.13344672,0.45521410
227.20011342,0.45466480
227.26678012,0.45863220
227.33344682,0.46833710
227.40011352,0.46986300
227.46678022,0.48701440
227.53344692,0.49147010
227.60011362,0.49250770
227.66678032,0.50447090
227.73344702,0.50349440
227.80011372,0.51454200
227.86678042,0.51277200
227.93344712,0.51393170
228.00011382,0.52851960
228.06678052,0.54585400
228.13344721,0.53523360
228.20011391,0.55342260
228.26678061,0.56843780
228.33344731,0.57307650
228.40011401,0.59804070
228.46678071,0.60194710
228.53344741,0.60261850
228.60011411,0.61006500
228.66678081,0.61549730
228.73344751,0.62422560
228.80011421,0.61610760
228.86678091,0.63075660
228.93344761,0.62733850
